review_id,comment
1,the app design is good but the battery life is disappointing
2,"great update, I really like the new interface"
3,the delivery was too slow and customer service was unhelpful
4,"the product is okay, not bad but not impressive either"
5,"I love the design, but the app crashes too often"
6,the service was excellent and the support team was very helpful
7,"the new version is fine, but it still needs some improvement"
8,I am very frustrated because the app keeps freezing
9,"easy to use, clean interface, and smooth performance"
10,"not terrible, but definitely not worth the price"
